ID;Claim;Topic;Label;Difficulty;Source_URL;Evidence_Sentence
MM019;When measles cases rise, it's only due to increased testing, not because of actual spread.;Epidemiology;MISLEADING;Medium;https://www.cdc.gov/measles/downloads/measlesdataandstatsslideset.pdf;Reported measles incidence decreased 83% from 2000 to 2017 due to vaccination and control measures.
MM020;Measles is a mild illness that doesn't need vaccination if you have good healthcare access.;Epidemiology;MISLEADING;Hard;https://www.nfid.org/resource/frequently-asked-questions-about-measles/;Measles can result in ... pneumonia (1 in 20), ... seizures, deafness, blindness... Measles can ... lead to serious disease and even death.
MM021;"The best way to prevent measles is good nutrition and hygiene; vaccines only play a minor role.";Policy;MISLEADING;Hard;https://www.cdc.gov/measles/downloads/measlesdataandstatsslideset.pdf;From 2000-2017: reported incidence decreased 83%... and annual estimated deaths decreased 80% (21.1 million deaths prevented) through vaccination.
MM022;Measles antibody tests aren't reliable, so vaccination history is irrelevant.;Policy;MISLEADING;Hard;https://www.cdc.gov/measles/hcp/clinical-overview/questions.html;Documented age-appropriate vaccination supersedes the results of subsequent serologic testing.
MM023;There is no need to vaccinate infants under 5 years old because they almost never get complications.;Treatment;MISLEADING;Hard;https://www.cdc.gov/measles/media/pdfs/2025/05/hcp-caring-for-patients-measles-fact-sheet.pdf;Even previously healthy people, measles can cause serious illness requiring hospitalization.
MM024;Measles elimination means that only people who travel abroad get it, so we don't need local vaccination.;Epidemiology;MISLEADING;Medium;https://www.cdc.gov/measles/downloads/measlesdataandstatsslideset.pdf;Since 2000, measles can be brought into the United States by unvaccinated travelers.
MM025;Infants cannot get measles because maternal antibodies protect them completely until their first birthday.;Immunity;MISLEADING;Medium;https://www.nfid.org/resource/frequently-asked-questions-about-measles/;Maternal antibodies protect the infant for the first 6 months of life... infants age 6-11 months have little protection.
MM026;Once measles was declared eliminated in a country, it will never come back.;History;MISLEADING;Medium;https://www.cdc.gov/measles/downloads/measlesdataandstatsslideset.pdf;Measles was eliminated from the U.S. in 2000, but cases continue to be imported by unvaccinated travelers.
MM027;Two doses of MMR vaccine are guaranteed to protect every child from measles.;Vaccine Safety;MISLEADING;Medium;https://www.cdc.gov/measles/hcp/clinical-overview/questions.html;About 3 out of every 100 people with 2 prior doses of MMR who are exposed to the virus will become infected with measles.
MM028;"Only people who refuse vaccination get measles; vaccinated people never catch it.";Vaccine Safety;MISLEADING;Hard;https://www.cdc.gov/measles/hcp/clinical-overview/questions.html;A breakthrough infection in a vaccinated person is rare... Even when breakthrough infections occur, people with pre-existing immunity are more likely to have milder illness.
MM029;People with egg allergies must avoid MMR vaccine because it contains egg proteins.;Vaccine Safety;MISLEADING;Medium;https://www.cdc.gov/pinkbook/hcp/table-of-contents/chapter-13-measles.html;Both MMR and MMRV contain live, attenuated viruses (no mention of egg proteins).
MM030;Natural booster through exposure makes measles vaccinations unnecessary.;Immunity;MISLEADING;Hard;https://www.who.int/news-room/fact-sheets/detail/measles;Measles spreads easily when an infected person coughs or sneezes, even before rash appears.
MM031;After childhood measles, a person's immune system becomes better at fighting infections.;Immunity;MISLEADING;Hard;https://www.nfid.org/resource/frequently-asked-questions-about-measles/;Measles can result in ... immune amnesia (wiping out of prior immune protection).
MM032;School vaccine mandates are unnecessary, since overall coverage stays high without them.;Policy;MISLEADING;Medium;https://www.cdc.gov/measles/media/pdfs/2025/05/hcp-caring-for-patients-measles-fact-sheet.pdf;MMR vaccination is the best way to prevent measles and its complications. For those who cannot or prefer not to get vaccinated, risk of measles infection ... is higher.
MM033;Measles outbreaks in recent years happened only in countries that never had a vaccination program.;Epidemiology;MISLEADING;Hard;https://www.cdc.gov/measles/downloads/measlesdataandstatsslideset.pdf;Reported measles incidence decreased 83% from 2000 to 2017 due to vaccination programs worldwide.
MM034;Measles is mild today because modern treatments exist, so vaccination is optional.;Epidemiology;MISLEADING;Medium;https://www.nfid.org/resource/frequently-asked-questions-about-measles/;Measles is a highly contagious, serious disease that spreads easily and can cause severe complications even in previously healthy people.
MM035;Measles vaccination programs target only children, but adults are at high risk too.;Policy;MISLEADING;Medium;https://www.nfid.org/resource/frequently-asked-questions-about-measles/;Pregnant women and people with weakened immunity should not receive MMR vaccine, highlighting targeted protection strategies.
MM036;Measles was mostly eradicated in Europe by 2010, so we need no more vaccinations.;History;MISLEADING;Hard;https://www.who.int/news-room/fact-sheets/detail/measles;"Vaccination continues to prevent measles cases; all children or adults with measles should receive two doses of vitamin A (context of ongoing cases)."
MM037;Quarantine alone, without vaccination, can eliminate measles from a community.;Policy;MISLEADING;Medium;https://www.who.int/news-room/fact-sheets/detail/measles;Being vaccinated is the best way to prevent measles illness or spreading it to others.
MM038;Improving sanitation alone caused measles cases to drop drastically before vaccines.;History;MISLEADING;Medium;https://www.cdc.gov/measles/downloads/measlesdataandstatsslideset.pdf;From 2000-2017: measles vaccination prevented an estimated 21.1 million deaths and reduced incidence by 83%.
MM039;If you are healthy, measles is just like a mild cold and not worth preventing with vaccine.;Epidemiology;MISLEADING;Medium;https://www.nfid.org/resource/frequently-asked-questions-about-measles/;Measles is the most contagious virus known and can result in pneumonia, encephalitis, and death even in previously healthy individuals.
MM040;More vaccination has occurred in cities, hence measles outbreaks only happen in rural areas.;Epidemiology;MISLEADING;Hard;https://www.cdc.gov/measles/downloads/measlesdataandstatsslideset.pdf;"Measles outbreaks have occurred in various settings; overall incidence has only declined with widespread vaccination."
MM041;The measles virus has mutated around the vaccine, making the vaccine ineffective.;Vaccine Safety;MISLEADING;Hard;https://www.cdc.gov/measles/hcp/clinical-overview/questions.html;"The MMR vaccine is very effective at preventing measles; breakthrough infections are rare and usually milder."
MM042;Historical data show that measles mortality had nearly vanished before the vaccine due to better nutrition.;History;MISLEADING;Hard;https://www.nfid.org/resource/frequently-asked-questions-about-measles/;"Even in mild cases, measles can cause severe complications and death; improvements in care reduced mortality but did not eliminate measles deaths."
MM043;Measles elimination goals are only political and don't reflect the actual disease dynamics.;Policy;MISLEADING;Hard;https://www.cdc.gov/measles/media/pdfs/2025/05/hcp-caring-for-patients-measles-fact-sheet.pdf;MMR vaccination is the best way to prevent measles and its complications.
MM044;Eradicating measles worldwide is impossible, so measles vaccination is a waste of resources.;Policy;MISLEADING;Hard;https://www.who.int/news-room/fact-sheets/detail/measles;"Measles elimination and near-elimination are achievable with high vaccine coverage; vaccination prevents millions of deaths."
MM045;"Because measles is an old disease, new vaccines aren't necessary; traditional exposure works better.";History;MISLEADING;Medium;https://www.cdc.gov/measles/downloads/measlesdataandstatsslideset.pdf;Measles was declared eliminated in the U.S. in 2000 due to widespread vaccination, demonstrating the importance of vaccines.
MM046;Doctors in the 1950s noted measles was already declining, so the vaccine wasn't a factor.;History;MISLEADING;Hard;https://www.cdc.gov/measles/downloads/measlesdataandstatsslideset.pdf;Reported measles incidence has dropped dramatically only after the introduction and widespread use of measles vaccine.
MM047;Pneumonia in measles patients is always due to pre-existing conditions, not the virus.;Treatment;MISLEADING;Medium;https://www.nfid.org/resource/frequently-asked-questions-about-measles/;Measles can directly cause pneumonia, a common complication from the infection.
MM048;Once measles outbreaks occur, vaccination is too late to do any good.;Treatment;MISLEADING;Medium;https://www.cdc.gov/measles/hcp/clinical-overview/questions.html;"It is safe to vaccinate people after exposure; a vaccine dose may still provide protection if given within a certain time window."
MM049;Complications from measles are so rare that no extra medical attention is needed beyond rest.;Treatment;MISLEADING;Medium;https://www.nfid.org/resource/frequently-asked-questions-about-measles/;Measles can cause severe complications including pneumonia, encephalitis, and death, requiring prompt medical care.
MM050;SSPE and other complications happen in one in a million measles cases, so they're not a concern.;History;MISLEADING;Medium;https://www.cdc.gov/measles/downloads/measlesdataandstatsslideset.pdf;Subacute sclerosing panencephalitis (SSPE) is a very rare but fatal disease resulting from measles virus infection.
