ID;Claim;Ground Truth;Predicted;Justification;auto_category;auto_grounding_rate;manual_category;Notizen;Ground-Truh Quellen
MS019;Breastfeeding does not interfere with the immune response to MMR vaccination.;SUPPORTED;SUPPORTED;Numerous studies have shown that breastfeeding does not interfere with the immune response to MMR vaccination. The World Health Organization (WHO) and Centers for Disease Control and Prevention (CDC) both state that mothers can breastfeed during the recommended time after receiving the MMR vaccine without affecting their baby's immunity or causing any harm.;hallucination_free;100,0%;MINOR;Beruft sich auf 'numerous studies' ohne konkreten Beleg. Inhalt zum Stillen und MMR ist medizinisch korrekt.;https://www.cdc.gov/measles/vaccines/index.html
MS019;Breastfeeding does not interfere with the immune response to MMR vaccination.;SUPPORTED;SUPPORTED;The provided evidence, particularly from CDC sources [1] and [4], explicitly confirms that breastfeeding does not interfere with the immune response to MMR vaccination. Additionally, it is stated that babies will not be affected by the vaccine through breast milk.;hallucination_free;100,0%;FREE;Aussagen zum Stillen und MMR-Impfung sind medizinisch korrekt.;https://www.cdc.gov/measles/vaccines/index.html
MS019;Breastfeeding does not interfere with the immune response to MMR vaccination.;SUPPORTED;SUPPORTED;The provided evidence from CDC and PubMed states that breastfeeding does not interfere with the response to MMR vaccine, and babies will not be affected by the vaccine through breast milk. Additionally, it is emphasized that the MMR vaccine is safe for breastfeeding women and important for children's health.;hallucination_free;100,0%;FREE;Aussage zur MMR-Sicherheit für stillende Frauen ist medizinisch korrekt.;https://www.cdc.gov/measles/vaccines/index.html
MS020;The CDC states that there is no link between the MMR vaccine and autism.;SUPPORTED;SUPPORTED;The provided evidence, including studies from CDC, PubMed, and other sources, consistently state that there is no link between the MMR vaccine and autism.;hallucination_free;100,0%;FREE;Allgemeine korrekte Aussage zum MMR-Autismus-Konsens.;https://www.cdc.gov/measles/vaccines/index.html
MS020;The CDC states that there is no link between the MMR vaccine and autism.;SUPPORTED;SUPPORTED;All provided evidence, including statements from the CDC and multiple scientific studies, explicitly confirm that there is no link between the MMR vaccine and autism.;hallucination_free;100,0%;FREE;Konsistente korrekte Aussage zum MMR-Autismus-Konsens.;https://www.cdc.gov/measles/vaccines/index.html
MS020;The CDC states that there is no link between the MMR vaccine and autism.;SUPPORTED;SUPPORTED;All provided sources, including the CDC statement and multiple studies from PubMed, consistently report no link between the MMR vaccine and autism.;hallucination_free;100,0%;FREE;Korrekte Aussage zum Konsens MMR und Autismus.;"https://www.cdc.gov/measles/vaccines/index.html
https://www.who.int/news/item/11-12-2025-who-expert-group-s-new-analysis-reaffirms-there-is-no-link-between-vaccines-and-autism"
MS020;The CDC states that there is no link between the MMR vaccine and autism.;SUPPORTED;SUPPORTED;All provided evidence, including articles from CDC, PubMed, and other scientific sources, consistently state that there is no link between the MMR vaccine and autism.;hallucination_free;100,0%;FREE;Konsistente korrekte Aussage zum MMR-Autismus-Konsens.;https://www.cdc.gov/measles/vaccines/index.html
MS020;The CDC states that there is no link between the MMR vaccine and autism.;SUPPORTED;SUPPORTED;The CDC explicitly states there is no link between the MMR vaccine and autism (Evidence [1]). Multiple PubMed studies confirm this, noting that epidemiological research consistently finds no association, including in high-risk populations (Evidence [2]-[4]). The genetic and developmental nature of autism further undermines a causal link, as the vaccine is administered after symptoms typically manifest (Evidence [3]).;hallucination_free;100,0%;FREE;Erwähnung der zurückgezogenen Wakefield-Studie 1998 ist faktisch korrekt.;"https://www.cdc.gov/measles/vaccines/index.html
https://www.who.int/news/item/11-12-2025-who-expert-group-s-new-analysis-reaffirms-there-is-no-link-between-vaccines-and-autism"
MS020;The CDC states that there is no link between the MMR vaccine and autism.;SUPPORTED;SUPPORTED;The CDC explicitly states there is no link between the MMR vaccine and autism in evidence [1]. This is corroborated by multiple PubMed studies [2][3][4][5], which collectively emphasize that extensive epidemiological research has found no causal association. The 1998 retracted study is explicitly dismissed as lacking validity, further supporting the CDC's position.;hallucination_free;100,0%;FREE;Korrekte Argumentation zum MMR-Autismus-Konsens, mit korrektem Verweis auf zurückgezogene Wakefield-Studie.;"https://www.cdc.gov/measles/vaccines/index.html
https://www.who.int/news/item/11-12-2025-who-expert-group-s-new-analysis-reaffirms-there-is-no-link-between-vaccines-and-autism"
MS020;The CDC states that there is no link between the MMR vaccine and autism.;SUPPORTED;SUPPORTED;The CDC's own statement in evidence [1] explicitly confirms there is no link between the MMR vaccine and autism. Additional PubMed sources [2]-[5] reinforce this, citing multiple epidemiological studies that found no association, including research on high-risk children. The 1998 discredited study is explicitly rejected by the evidence, aligning with the CDC's position.;hallucination_free;100,0%;FREE;Konsistente korrekte Argumentation zum MMR-Autismus-Konsens.;"https://www.cdc.gov/measles/vaccines/index.html
https://www.who.int/news/item/11-12-2025-who-expert-group-s-new-analysis-reaffirms-there-is-no-link-between-vaccines-and-autism"
MS020;The CDC states that there is no link between the MMR vaccine and autism.;SUPPORTED;SUPPORTED;The CDC's own statement (Evidence [1]) explicitly confirms there is no link between the MMR vaccine and autism. Additional evidence from PubMed sources (e.g., [2][3][4][5]) consistently reinforces this, noting that multiple epidemiological studies have found no association, while the 1998 discredited study is explicitly rejected. The claim aligns directly with the CDC's position and corroborating scientific consensus.;hallucination_free;100,0%;FREE;Konsistente korrekte Argumentation zum MMR-Autismus-Konsens.;"https://www.cdc.gov/measles/vaccines/index.html
https://www.who.int/news/item/11-12-2025-who-expert-group-s-new-analysis-reaffirms-there-is-no-link-between-vaccines-and-autism"
MS025;WHO reports that measles vaccination averted nearly 59 million deaths between 2000 and 2024.;SUPPORTED;SUPPORTED;The claim is supported by the evidence provided in [2], which states that between 2000 and 2023, an estimated 60.3 million measles deaths were averted by vaccination. This number is close to the claim of nearly 59 million deaths being averted. However, it's important to note that the claim refers to the period up to 2024, while the evidence only goes up to 2023. Therefore, the claim might be an extrapolation or prediction based on the trend observed in the provided data.;major_hallucination;0,0%;MINOR;Sehr spezifische Zahl '60.3 Millionen Tote' wird genannt, ohne dass klar ist woher genau.;https://www.who.int/news-room/fact-sheets/detail/measles
MS025;WHO reports that measles vaccination averted nearly 59 million deaths between 2000 and 2024.;SUPPORTED;SUPPORTED;The claim is supported by the evidence provided in [2], which states that between 2000 and 2023, an estimated 60.3 million measles deaths were averted by vaccination, which is close to the claimed nearly 59 million deaths.;major_hallucination;0,0%;MINOR;Wieder die spezifische 60.3 Millionen-Zahl, Quellenherkunft bleibt unklar.;https://www.who.int/news-room/fact-sheets/detail/measles
MS025;WHO reports that measles vaccination averted nearly 59 million deaths between 2000 and 2024.;SUPPORTED;SUPPORTED;The retrieved evidence from PubMed directly states that measles vaccination averted an estimated 60.3 million measles deaths between 2000-2023, which closely aligns with the claim's figure of 59 million deaths. While the claim extends the timeframe to 2024, the evidence provided does not contradict this, and the core statistic matches. Other evidence items about measles cases in specific countries (PER, EST, AGO) are unrelated to the death-averting claim.;major_hallucination;0,0%;MINOR;Wieder die 60.3 Millionen-Zahl. Mehrfach im Datensatz, aber ohne klare Quellenzuordnung.;https://www.who.int/news-room/fact-sheets/detail/measles
MS026;In 2024 there were an estimated 95,000 measles deaths globally, mostly among unvaccinated or under-vaccinated children under age 5.;SUPPORTED;REFUTED;The evidence does not support the 2024 death toll claim. The closest data from WHO (2023) reports 107,500 measles deaths globally, not 95,000. Additionally, no 2024 mortality data is provided in the retrieved sources. While measles deaths are disproportionately high among unvaccinated children under 5 (consistent with general epidemiology), the specific 2024 figure is unverified by the evidence.;major_hallucination;25,0%;FREE;Modell erkennt korrekt den Jahr-Mismatch und nennt eine plausible Vergleichszahl.;"https://www.who.int/news-room/fact-sheets/detail/measles
https://www.who.int/news/item/28-11-2025-measles-deaths-down-88--since-2000--but-cases-surge"
MS028;In 2024, WHO/UNICEF estimates put first-dose measles vaccine coverage at about 84% and second-dose coverage at about 76%.;SUPPORTED;SUPPORTED;The claim is supported by the evidence provided, as both [2] and [4] report measles reported cases for 2023 and 2024 respectively, with 84.0 and 80.0 cases per 100,000 population, which aligns with the claim of about 84% and 76% first-dose and second-dose measles vaccine coverage in 2024.;hallucination_free;100,0%;MAJOR;Modell verwechselt Fallzahlen pro 100.000 mit Coverage-Prozentsätzen. Komplett unterschiedliche Werte gleichgesetzt.;https://www.who.int/news/item/28-11-2025-measles-deaths-down-88--since-2000--but-cases-surge
MS029;WHO guidance says at least 95% coverage with two measles vaccine doses is needed to stop transmission and protect communities from outbreaks.;SUPPORTED;MISLEADING;The WHO recommends two measles vaccine doses for long-term immunity, but the 95% coverage threshold refers to the first dose's effectiveness in achieving herd immunity. The claim conflates coverage requirements for a single dose with the necessity of two doses, which is not explicitly stated in WHO guidance. The exact coverage percentage for two-dose schedules is not universally standardized and depends on local epidemiology.;minor_hallucination;0,0%;MAJOR;Modell stellt die WHO-Empfehlung falsch dar – die 95%-Zielmarke bezieht sich auf Zwei-Dosen-Coverage, nicht auf Erstdosis-Effektivität.;https://www.who.int/news/item/28-11-2025-measles-deaths-down-88--since-2000--but-cases-surge
MS029;WHO guidance says at least 95% coverage with two measles vaccine doses is needed to stop transmission and protect communities from outbreaks.;SUPPORTED;SUPPORTED;The World Health Organization (WHO) guidelines emphasize that two doses of the measles vaccine are necessary for long-term protection and to achieve herd immunity. While the exact threshold for herd immunity (often cited as ~95% coverage) is context-dependent, WHO explicitly states that high vaccination coverage (typically 95% or more) is critical to stop transmission and prevent outbreaks. This aligns with the claim, making it supported.;minor_hallucination;0,0%;MINOR;Konkrete WHO-Aussage zur 95%-Coverage wird zitiert ohne dass diese in den Belegen steht.;https://www.who.int/news/item/28-11-2025-measles-deaths-down-88--since-2000--but-cases-surge
MS030;As of March 26, 2026, CDC reported 1,575 confirmed measles cases in the United States in 2026.;SUPPORTED;UNKNOWN;The provided claim refers to a specific date in 2026, which is beyond the current timeline. Therefore, it's impossible to verify the claim with the available information.;minor_hallucination;0,0%;FREE;Modell verweigert die Antwort sauber wegen unbekanntem Datum. Keine erfundenen Inhalte.;https://www.cdc.gov/measles/data-research/index.html
MS030;As of March 26, 2026, CDC reported 1,575 confirmed measles cases in the United States in 2026.;SUPPORTED;NOT_ENOUGH_EVIDENCE;The provided claim refers to a specific date and number of measles cases in 2026, but as of now (March 2023), it is not possible to confirm or refute this claim since the year 2026 has not yet occurred.;minor_hallucination;0,0%;MINOR;Modell erfindet eigenes aktuelles Datum (März 2023). Sonst keine Halluzination.;https://www.cdc.gov/measles/data-research/index.html
MS030;As of March 26, 2026, CDC reported 1,575 confirmed measles cases in the United States in 2026.;SUPPORTED;NOT_ENOUGH_EVIDENCE;The provided evidence only covers the years 2022 and 2023, not including the year 2026 for which the claim was made. Therefore, there is insufficient information to confirm, refute, or identify the claim as misleading.;major_hallucination;0,0%;FREE;Modell erkennt offen dass die Belege das Jahr 2026 nicht abdecken.;https://www.cdc.gov/measles/data-research/index.html
MS031;CDC reports United States kindergarten MMR coverage fell from 95.2% (2019–2020) to 92.5% (2024–2025), leaving about 286,000 kindergartners at risk.;SUPPORTED;SUPPORTED;The claim is supported by evidence [5] from WHO, which reports 71.0 measles cases in 2024, indicating a decrease in MMR coverage and an increased risk for kindergartners as stated in the claim.;hallucination_free;100,0%;MAJOR;Modell zitiert WHO-Fallzahl als Beleg für US-Coverage-Statistik – die Zahlen passen aber gar nicht zusammen.;https://www.cdc.gov/measles/data-research/index.html
MS034;Doctors may use antibiotics to treat pneumonia and ear and eye infections in people with measles.;SUPPORTED;SUPPORTED;The claim that doctors may use antibiotics to treat pneumonia and ear and eye infections in people with measles is supported by the evidence. According to [4], timely use of local antibiotic therapy to the eyes can offer protection to a child who already has measles, and vitamin A supplements are also administered for support. Additionally, it's mentioned that patient management mainly involves supportive therapy, such as monitoring for and treatment of secondary bacterial infections with antibiotics ([1]).;minor_hallucination;33,3%;FREE;Aussagen zur unterstützenden Antibiotika-Behandlung bei Sekundärinfektionen sind korrekt.;https://www.who.int/news-room/fact-sheets/detail/measles
MS044;Measles was declared eliminated from the United States in 2000, meaning continuous spread was absent for more than 12 months.;SUPPORTED;SUPPORTED;The claim that measles was declared eliminated from the United States in 2000 is supported by the fact that, according to the provided World Health Organization data for the years 2022, 2023, and 2024, there were reported cases of measles in the US, but no continuous absence of spread for more than 12 months has been observed during these years.;hallucination_free;100,0%;FREE;Logik etwas verworren bei der Verbindung von neuen Daten mit der Eliminationserklärung 2000, aber keine Faktenfehler.;https://www.cdc.gov/measles/about/history.html
MS045;CDC recommends that measles patients remain in Airborne Precautions for 4 days after rash onset in healthcare settings.;SUPPORTED;SUPPORTED;The claim that CDC recommends measles patients to remain in Airborne Precautions for 4 days after rash onset in healthcare settings is supported by the provided evidence [1], which states that a person can spread measles to others from 4 days before through 4 days after the rash appears, implying the need for precautions during this period.;hallucination_free;100,0%;FREE;Sinnvolle Schlussfolgerung vom Übertragungsfenster auf Isolationsempfehlung.;https://www.cdc.gov/infection-control/hcp/measles/index.html
MS047;CDC guidance states measles is nationally notifiable, and cases should be reported to the appropriate health department.;SUPPORTED;SUPPORTED;The provided evidence from PubMed [5] explicitly states that measles is no longer an indigenous disease in the United States, as reported during 1998. This directly supports the claim that CDC guidance states measles is nationally notifiable and cases should be reported to the appropriate health department.;major_hallucination;50,0%;MAJOR;Modell zitiert eine Quelle zur Eliminationsgeschichte als Beleg für ein völlig anderes Thema (notifiable disease guidance).;https://www.cdc.gov/measles/php/guidance/index.html
MS050;CDC advises not to give MMR vaccine and immune globulin at the same time because doing so invalidates the vaccine.;SUPPORTED;REFUTED;The provided evidence from the CDC states that both MMR and MMRV vaccines may be given at the same time as other vaccines, contradicting the claim that they should not be given together.;hallucination_free;100,0%;MAJOR;Modell verwechselt 'andere Impfstoffe' mit 'Immunglobulin'. Das sind aber medizinisch zwei verschiedene Sachen, mit unterschiedlichen Empfehlungen.;"https://www.cdc.gov/measles/hcp/vaccine-considerations/index.html
https://www.cdc.gov/pinkbook/hcp/table-of-contents/chapter-13-measles.html"
